Model Yr;Mfr Name;Division;Carline;Trans as listed in FE Guide (derived from col AA thru AF);City Unadj FE - Conventional Fuel;Fuel Usage Desc - Conventional Fuel
2010;aston martin;Aston Martin Lagonda Ltd;V8 Vantage;Auto(AM6);16,9502;Gasoline (Premium Unleaded Recommended)
2010;aston martin;Aston Martin Lagonda Ltd;V8 Vantage;Manual(M6);15,0065;Gasoline (Premium Unleaded Recommended)
2010;Audi;Audi;R8;Manual(M6);15,3;Gasoline (Premium Unleaded Recommended)
2010;Audi;Audi;R8;Auto(AM6);15,4;Gasoline (Premium Unleaded Recommended)
2010;Audi;Audi;R8;Auto(AM6);15,8;Gasoline (Premium Unleaded Recommended)
2010;Audi;Audi;R8;Manual(M6);13,7;Gasoline (Premium Unleaded Recommended)
2010;Audi;Audi;TT ROADSTER QUATTRO;Auto(S6);27,5267;Gasoline (Premium Unleaded Recommended)
2010;Bentley;Bentley Motors Ltd.;Continental Supersports;Auto(S6);14,4;Gasoline (Premium Unleaded Recommended)
2010;BMW;BMW;Z4 sDrive30i;Auto(S6);23,1565;Gasoline (Premium Unleaded Recommended)
2010;BMW;BMW;Z4 sDrive30i;Manual(M6);22,7853;Gasoline (Premium Unleaded Recommended)
2010;BMW;BMW;Z4 sDrive35i;Auto(S7);21,3727;Gasoline (Premium Unleaded Recommended)
2010;BMW;BMW;Z4 sDrive35i;Manual(M6);22,0566;Gasoline (Premium Unleaded Recommended)
2010;Bugatti;Bugatti;Veyron;Auto(S7);9,5;Gasoline (Premium Unleaded Required)
2010;GM;Chevrolet;CORVETTE;Manual(M6);16,9;Gasoline (Premium Unleaded Required)
2010;GM;Chevrolet;CORVETTE;Auto(S6);18,2498;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;CORVETTE;Manual(M6);20,2;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;CORVETTE;Manual(M6);18,4;Gasoline (Premium Unleaded Required)
2010;Chrysler Group LLC;Dodge;Viper Convertible;Manual(M6);15,6;Gasoline (Premium Unleaded Required)
2010;Chrysler Group LLC;Dodge;Viper Coupe;Manual(M6);15,6;Gasoline (Premium Unleaded Required)
2010;Ferrari;Ferrari North America, Inc.;Ferrari 458 Italia;Auto(AM7);14,4;Gasoline (Premium Unleaded Required)
2010;Ferrari;Ferrari North America, Inc.;Ferrari 599 GTB FIORANO;Auto(AM6);12,99;Gasoline (Premium Unleaded Required)
2010;Ferrari;Ferrari North America, Inc.;Ferrari 599 GTB FIORANO;Manual(M6);13,2;Gasoline (Premium Unleaded Required)
2010;Audi;Lamborghini;Gallardo Coupe;Auto(AM6);16,1;Gasoline (Premium Unleaded Recommended)
2010;Audi;Lamborghini;Gallardo Coupe;Manual(M6);14;Gasoline (Premium Unleaded Recommended)
2010;Audi;Lamborghini;Gallardo Spyder;Auto(AM6);16;Gasoline (Premium Unleaded Recommended)
2010;Audi;Lamborghini;Gallardo Spyder;Manual(M6);13;Gasoline (Premium Unleaded Recommended)
2010;Lamborghini;Lamborghini;MURCIELAGO;Manual(M7);10,1;Gasoline (Premium Unleaded Recommended)
2010;Lamborghini;Lamborghini;MURCIELAGO;Auto(AM7);10,9;Gasoline (Premium Unleaded Recommended)
2010;Lamborghini;Lamborghini;Murcielago Reventon Roadster;Auto(AM7);10,9;Gasoline (Premium Unleaded Recommended)
2010;Lamborghini;Lamborghini;MURCIELAGO ROADSTER;Manual(M7);10,1;Gasoline (Premium Unleaded Recommended)
2010;Lamborghini;Lamborghini;MURCIELAGO ROADSTER;Auto(AM7);10,9;Gasoline (Premium Unleaded Recommended)
2010;Lotus;Lotus Cars Ltd;Elise / Exige;Manual(M6);26,4646;Gasoline (Premium Unleaded Recommended)
2010;Lotus;Lotus Cars Ltd;Elise / Exige;Manual(M6);25,1813;Gasoline (Premium Unleaded Recommended)
2010;MAZDA;MAZDA;MX-5;Manual(M5);28,3744;Gasoline (Premium Unleaded Recommended)
2010;MAZDA;MAZDA;MX-5;Manual(M6);26,9;Gasoline (Premium Unleaded Recommended)
2010;MAZDA;MAZDA;MX-5;Auto(S6);26,0367;Gasoline (Premium Unleaded Recommended)
2010;Mercedes-Benz;Mercedes-Benz;SL 550;Auto(A7);16,5;Gasoline (Premium Unleaded Required)
2010;Mercedes-Benz;Mercedes-Benz;SLK 300;Manual(M6);21,9;Gasoline (Premium Unleaded Required)
2010;Mercedes-Benz;Mercedes-Benz;SLK 300;Auto(A7);23,3;Gasoline (Premium Unleaded Required)
2010;Mercedes-Benz;Mercedes-Benz;SLK 350;Auto(A7);22,5;Gasoline (Premium Unleaded Required)
2010;Mercedes-Benz;Mercedes-Benz;SLK 350;Manual(M6);20,8;Gasoline (Premium Unleaded Required)
2010;Mercedes-Benz;Mercedes-Benz;SLK 55 AMG;Auto(A7);17,7;Gasoline (Premium Unleaded Required)
2010;Mercedes-Benz;Mercedes-Benz;Smart fortwo (CABRIOLET);Auto(AM5);44,3;Gasoline (Premium Unleaded Required)
2010;Mercedes-Benz;Mercedes-Benz;Smart fortwo (COUPE);Auto(AM5);44,3;Gasoline (Premium Unleaded Required)
2010;Nissan;NISSAN;370Z;Manual(M6);22,6;Gasoline (Premium Unleaded Required)
2010;Nissan;NISSAN;370Z;Auto(S7);23,6264;Gasoline (Premium Unleaded Required)
2010;Nissan;NISSAN;370Z ROADSTER;Auto(S7);22,5434;Gasoline (Premium Unleaded Required)
2010;Nissan;NISSAN;370Z ROADSTER;Manual(M6);22,2;Gasoline (Premium Unleaded Required)
2010;GM;Pontiac;SOLSTICE;Auto(A5);23,4;Gasoline (Regular Unleaded Recommended)
